郵遞區號,,郵務局號,,,,,,經度,緯度
10044,000100-6,100000,臺北北門郵局,臺北901支,臺北市,中正區,忠孝西路一段120號1樓,121.511431,25.047355
20047,001100-2,200450,基隆愛三路郵局,基隆901支,基隆市,仁愛區,愛三路130號1F,121.743734,25.129912
22047,031100-4,220000,板橋文化路郵局,板橋901支,新北市,板橋區,文化路1段395號,121.467261,25.022083
24141,244100-7,241000,三重中山路郵局,三重901支,新北市,三重區,新北大道一段17號,121.487571,25.061237
26044,011100-0,260000,宜蘭中山路郵局,宜蘭901支,宜蘭縣,宜蘭市,中山路3段130號,121.753012,24.758323
30041,006100-4,300000,新竹武昌街郵局,新竹901支,新竹市,東區,武昌街81號,120.968405,24.804548
33043,012100-6,330000,桃園成功路郵局,桃園901支,桃園市,桃園區,成功路一段51號,121.311098,24.992567
36049,029100-8,360000,苗栗中苗郵局,苗栗901支,苗栗縣,苗栗市,中正路532號,120.820839,24.558433
40001,002100-9,400000,臺中民權路郵局,臺中901支,臺中市,中區,民權路86號,120.678871,24.139121
50091,008100-7,500000,彰化中央路郵局,彰化901支,彰化縣,彰化市,中央路270號,120.527,24.0682
54057,040100-5,540000,南投三和郵局,南投901支,南投縣,南投市,三和二路30號,120.688465,23.904367
60044,005100-8,600000,嘉義文化路郵局,嘉義901支,嘉義市,東區,文化路134號,120.449996,23.477912
64051,030100-8,640000,斗六西平路郵局,雲林901支,雲林縣,斗六市,西平路1號,120.539586,23.707019
70401,003100-5,704000,臺南成功路郵局,臺南901支,臺南市,北區,成功路6、8號,120.210563,22.997692
80027,004100-1,800000,新興郵局,高雄901支,高雄市,新興區,中正三路177、179號,120.303875,22.631026
88041,024100-6,880000,馬公中正路郵局,澎湖901支,澎湖縣,馬公市,中正路70號,119.5635267,23.5671515
90041,007100-1,900000,屏東民生路郵局,屏東901支,屏東縣,屏東市,民生路250號,120.491605,22.670552
95044,026100-9,950000,臺東大同路郵局,臺東901支,臺東縣,臺東市,大同路126號,121.153945,22.752944
97054,009100-3,970000,花蓮國安郵局,花蓮901支,花蓮縣,花蓮市,中山路408號,121.604241,23.984169
